dim,fid,repetition,BSqi,BSrr,CMA-CSA,fmincon,fminunc,HCMA,HMLSL,IPOP400D,MCS,MLSL,OQNLP,SMAC-BBOB
5,12,1,65.24891101431238,209710.0,7.1729931549471075,1.0510267579340387,1.0,2.2115743621655257,1.0143123833229621,10.887782617714157,20.84380833851898,1.0143123833229621,3.662725575606721,209710.0
5,13,1,16788.0,16788.0,4.344235486508585,1.0,1.250204415372036,1.7882256745707277,1.0024529844644317,6.863450531479967,16788.0,1.0024529844644317,5.233851185609158,16788.0
5,14,1,27.833935018050543,40.13357400722022,5.675090252707581,1.0,1.5342960288808665,5.487364620938628,1.0,6.238267148014441,4.025270758122744,1.0,1.3971119133574008,22234.0
5,15,1,739075.0,739075.0,1.1608233631177747,739075.0,739075.0,1.0,4.663757635418244,739075.0,739075.0,739075.0,739075.0,739075.0
5,16,1,90630.0,90630.0,1.0,90630.0,90630.0,2.379239735377507,90630.0,90630.0,90630.0,90630.0,90630.0,90630.0
5,17,1,136664.0,136664.0,3.66989563821247,136664.0,136664.0,2.232164838105432,14.628204442065828,1.0,136664.0,136664.0,136664.0,136664.0
5,18,1,381437.5,381437.5,1.1539660884817775,381437.5,381437.5,1.0,9.292474663808225,381437.5,381437.5,381437.5,381437.5,381437.5
5,19,1,1225364.0,1225364.0,8.270971132853559,1225364.0,1225364.0,14.862505053772129,11.80969515646478,1225364.0,1225364.0,1225364.0,1.0,1225364.0
5,20,1,841842.0,841842.0,3.216917354035258,841842.0,841842.0,6.8077147016011645,1.0,841842.0,2.270176289826945,841842.0,1.2184214782468057,841842.0
5,21,1,16.46458648240121,10.88479809976247,14.193478730295832,1.150075577629022,2.5430792485424316,24.39602677607428,1.0,5.903692507017922,6.868278989419132,2.7797451954221546,1.0435111207082703,1.9671777153962426
5,22,1,180.61981184283343,172.12091864969562,285.6004427227449,1.0,1.1840066408411731,5.1502490315439955,1.7670171555063643,10.035971223021583,15.103486441615939,1.267017155506364,1.090550636413946,1.7722744881018264
5,23,1,2215950.0,2215950.0,6.435018351685018,11.55295920920921,2215950.0,1.0,5.0528914330997665,2215950.0,2215950.0,2215950.0,2215950.0,2215950.0
5,24,1,62841115.0,62841115.0,62841115.0,62841115.0,62841115.0,1.0,62841115.0,62841115.0,62841115.0,62841115.0,62841115.0,62841115.0
10,1,1,2.428571428571429,2.428571428571429,26.696428571428573,2.205357142857143,1.0267857142857144,1.0,2.205357142857143,22.589285714285715,2.232142857142857,2.205357142857143,1.973214285714286,6.544642857142858
10,2,1,1.0,1.4733475479744136,38.362473347547976,7.093816631130064,27.2409381663113,3.727078891257996,7.2409381663113015,81.42857142857143,15.388059701492539,7.2409381663113015,6.021321961620469,76380.0
10,3,1,1.026743075453677,1.0,741316.666666667,741316.666666667,741316.666666667,2.0312002546959564,118.00647352223288,741316.666666667,741316.666666667,741316.666666667,741316.666666667,741316.666666667
10,4,1,1.2232627832927516,1.0,42866.0,42866.0,42866.0,4.014422176437535,42866.0,42866.0,42866.0,42866.0,42866.0,42866.0
10,5,1,2.2968749999999996,2.2968749999999996,9.0625,9.53125,4.375,2.9375,9.53125,9.515625,1.5781249999999998,9.53125,2.65625,1.0
10,6,1,904820.0,904820.0,1.2120005139406398,1.1084414750096365,2.3863548760118207,1.8208916870101506,1.0,1.2267763073365026,58.12797121932417,1.0,3.1519979442374404,904820.0
10,7,1,403198.0,403198.0,1.2075044069503902,403198.0,403198.0,1.0,12.691954167715942,403198.0,403198.0,403198.0,403198.0,403198.0
10,8,1,1900060.0,184.47184466019417,4.356893203883495,1.1085436893203884,1.2996116504854367,1.7363106796116505,1.5036893203883495,6.598381877022651,1.517864077669903,1.1161165048543689,1.0,1900060.0
10,9,1,117370.0,117370.0,10.428715365239293,1.1944584382871537,1.0,4.064987405541562,1.201007556675063,29.564231738035264,2.50176322418136,1.201007556675063,1.0493702770780857,117370.0
10,10,1,61478.0,61478.0,7.558070025619129,1.195132365499573,8.692997438087106,1.7877882152006832,1.0,61478.0,61478.0,1.0,13.125106746370625,61478.0
10,11,1,109928.0,109928.0,14.091015169194865,1.0105017502917153,64.13535589264878,4.9708284714119015,1.0,33.4816219369895,109928.0,1.0,29.364060676779463,109928.0
